Fabricante;Producto;Tipo Licencia;Licencia Metrica;Precio;Moneda
Microsoft;Defender Identity Sub Per User;Suscripción;usuario;17,6000;USD
Microsoft;Defender Identity Sub Per User;Suscripción;usuario;22,0000;USD
Microsoft;WinRmtDsktpSrvcsCAL ALNG LicSAPk MVL DvcCAL;Suscripción;Servidores;233,6900;BRL
Microsoft;WinRmtDsktpSrvcsCAL ALNG LicSAPk MVL DvcCAL;Suscripción;Servidores;84,7200;USD
Microsoft;WinRmtDsktpSrvcsCAL ALNG LicSAPk MVL DvcCAL;Suscripción;Servidores;42,9100;USD
Microsoft;WinRmtDsktpSrvcsCAL ALNG LicSAPk MVL DvcCAL;Suscripción;Servidores;42,3600;USD
Microsoft;WinRmtDsktpSrvcsCAL ALNG LicSAPk MVL DvcCAL;Suscripción;Servidores;42,3600;USD
Microsoft;Power Apps per User plan;Suscripción;Named User;211,2000;USD
Microsoft;Power Automate RPA;Suscripción ;usuario;422,4000;USD
Microsoft;Power Automate RPA;Suscripción;usuario;422,4000;USD
Microsoft;Power Automate RPA;Suscripción;usuario;1931,4000;BRL
Microstrategy;Cloud Architect User;Suscripción;NAMED USER PLUS;1250,2500;USD
Microstrategy;Store User;Suscripción;Each light User Per Year;156,0000;USD
Nintex;Together Nintex Workflow Standard & Nintex Forms Standard Software Assurance;Suscripción;Named User;23992060,0000;CLP
SAP; Ariba Sourcing;Suscripción;usuario;616,7600;USD
SAP;SAP Ariba Contracts;Suscripción;usuario;942,6300;USD
SAP;Ariba Supplier Lifecycle & Perf.;Suscripción;usuario;1261,2900;USD
SAP;Ariba Catalog;Suscripción;Cantidad Gastado (USD);83495,3200;USD
Thinkcell;Licencias Thinkcell;Suscripción;usuario;2124,8500;BRL
Thinkcell;Licencias Thinkcell;Suscripción;usuario;262,0000;USD
Veritas;NETBACKUP ENTERPRISE XPLAT 1 FRONT END TB ONPREMISE STANDARD SUBSCRIPTION + ESSENTIAL MAINTENANCE LICENSE RENEWAL 36MO CORPORATE;Suscripción;TeraBytes;549,0000;USD
Veritas;VERITAS ALTA DATA PROTECTION XPLAT 1 FRONT END TB STANDARD SUBSCRIPTION + ESSENTIAL MAINTENANCE LICENSE INITIAL 36MO CORPORATE;Suscripción;TeraBytes;549,0000;USD
Veritas;VERITAS ALTA DATA PROTECTION XPLAT 1 FRONT END TB STANDARD SUBSCRIPTION + ESSENTIAL MAINTENANCE CONVERSION FROM PERPETUAL LICENSE INITIAL 36MO CORPORATE;Suscripción;TeraBytes;549,0000;USD
Veritas;DATA INSIGHT PLUS CLOUD STORAGE XPLAT 1 TB ONPREMISE STANDARD SUBSCRIPTION + ESSENTIAL MAINTENANCE LICENSE INITIAL 36MO CORPORATE;Suscripción;TeraBytes;1147,0000;USD
Vmware;Tanzu CloudHealth;Suscripción;Cantidad Gastado (USD);158262,0000;USD
Trend;Deep Security - Network Security - per Server (VM);Perpétua;Servidores;51515,1000;CLP
Trend;Deep Discovery Inspector Model 1000 - 1Gbps ;Perpétua;Servidores;52000000,0000;ARS
Trend;Vision One Core – Apex SaaS ;Suscripción;No aplica;6764,3030;CLP
Trend;Email and Collaboration Core – Cloud App Security ;Suscripción;Named User;5719,0900;CLP
Trend;Vision One Pro – Workload Security;Suscripción;No aplica;123071,0700;CLP
Asana;Licencia Asana Business;Suscripción;usuario;23,7400;USD
JAMF;JAMF PRO MAC;Suscripción;usuario;89,7800;USD
JAMF;JAMF CONNECT;Suscripción;usuario;29,6400;USD
Blue Prism;Licencias RPA;Suscripción;espacio de instalacion APP;9256,7000;USD
mimix;MIMIX 78AA920 Model: 42A-P9;Perpétua;Servidores;14185461,5000;CLP
mimix;MIMIX 78AA930 Model: 42A-P9;Perpétua;Servidores;14185461,5000;CLP
seattlelab;SLNET 500 sesiones concurrentes;Perpétua;TeraBytes;781200,0000;CLP
seattlelab;SL NET 6.3 (64bit);Perpétua;Servidores;325500,0000;CLP
zendesk;Zendesk;Suscripción;usuario;1232,8800;USD
automation anywhere;Bot Runner;Suscripción;usuario;5053,0000;USD
automation anywhere;Control Room;Suscripción;Named User;18950,0000;USD
automation anywhere;Unattended Bot Runner;Suscripción;Named User;8621,0000;
FAMOC;Famoc por dispositivo;Suscripción;Dispositivo;36,0000;USD
Gitlab;Gitlab premium;Suscripción;Named User;347,0600;USD
hotjar;Hotjar;Suscripción;Servidores;118800,0000;USD
